review_id,review_date,aspect,aspect_rating,overall_rating,score_afinn_per_median_review,score_afinn_raw,score_syuzhet_per_median_review,score_syuzhet_raw,sentiment_category,mismatch_types,title,review_excerpt,review_text
197330067,Mar 2014,Cleanliness,1,2,0.656891495601173,2,1.5601173020527859,4.75,Positive,low aspect rating with positive text sentiment,Over rated！,The door in the villa was very very very hard to open，i meant every one of it，and my husband cant even get out of the villa without my help，and he was a healthy man ，i had one of the best view rm in resort but they had to grow two trees in front of the villa so all i saw is th...,The door in the villa was very very very hard to open，i meant every one of it，and my husband cant even get out of the villa without my help，and he was a healthy man ，i had one of the best view rm in resort but they had to grow two trees in front of the villa so all i saw is that two trees when i was staying in my villa， not the ocean，the pool size is just a little bigger than a jacuzzi，i can smell mold everywhere in the villa，and even the towel was a bit wet ，there was dust in every corner，from all the hotel i visit even the four star one they will arrage my cosmatic and stuff when they clean up my room but obviously not this one，however after i tip the cleaner they will do so，the decoration plant in the villa was dry and dying also with some around the villa，the staff was ok but theres one who serve us all the time with poker face，the mini bar had serious smell of mold，the cleaner will spary tons of amount of insecticide on the bed so all i can smell when i go to sleep is the chamical，stuff i wont use at home，food are disgusting all the meat were over cook，and of course it was over price，even a coke cost 7usd，the bathroom mirror light were too bright i feel my eye hurt when i was looking at the mirror，and the reason why i want to stay in bulgari is becoz i heard theres monkey going to the villa，and i cant see any ，even lefting the food outside the villa over night so i guess they had done a great job of getting rid of the monkey，i would only go to four season from now on where ever i go，also the bed were too soft，and the breakfast sucks，cant even make a egg benedit correct
161766154,May 2013,Cleanliness,1,1,0.8853754940711462,2,1.1731225296442689,2.65,Positive,low aspect rating with positive text sentiment,Such a disappointment,We checked into the resort with high hopes of having a luxury holiday for our family. Such a beautiful and picturesque place. We arrived with our two children 2 and 4 booking a 2 bedroom villa. Unfortunately we weren't able to use our second room as it was in a completely sepa...,"We checked into the resort with high hopes of having a luxury holiday for our family. Such a beautiful and picturesque place. We arrived with our two children 2 and 4 booking a 2 bedroom villa. Unfortunately we weren't able to use our second room as it was in a completely separate structure separated by the plunge pool. All three rooms (2 bedrooms and living area) had subpar cleaning with cobwebs throughout the rooms. We actually requested the cobwebs cleaned in the living space since with was throughout the high ceiling area and was rather unsightly. Both bathtubs had staining and mold around the drains which were cleaned properly when requested. Definitely not what you would expect from a $1800 USD a night resort. The food selection was limited. There was one pool with limited service available there. The beach, while beautiful, was a hike to get to and once you did had a beach that was not swimmable. It was actually quite dangerous. We planned a 3 night stay but left after the second night. When we checked out no one ever asked how our stay was or apologized for the cleanliness. When I asked if there were accomadations that were continuous so we could be in the same structure as the kids but still have a separate room we were told to get a sitter to stay with them in the other room so they could be on their own. We were sorely disappointed and would not recommend this resort to anyone - family or couple."
26034594,Mar 2009,Cleanliness,1,2,0.9401888772298006,8,1.3280167890870935,11.3,Positive,low aspect rating with positive text sentiment,Bad Villa Condition and Sloppy Housekeeping,"This resort supposedly represents the pinnacle of luxury in Bali as well as in Asia and have spectacular views. Indeed this hotel / resort is unlike any I have stayed before. The Bulgari chain only have two hotels in the world, and strive to deliver cutting edge luxury with co...","This resort supposedly represents the pinnacle of luxury in Bali as well as in Asia and have spectacular views. Indeed this hotel / resort is unlike any I have stayed before. The Bulgari chain only have two hotels in the world, and strive to deliver cutting edge luxury with contemporary design and rely on the drawing power of the Bvlgari brand. One thing you need to realize first is that this resort is very very expensive, the most pricey in Bali with rack rates starting in the range of thousand dollars per night. Booked the upper tier cliff ocean villa which has a direct ocean front view. However, it may not make sense to pay for the extras since you can get the same or better view from the resort’s common areas. The villa is divided neatly into outdoor and indoor area. The outdoor area comprises the dinning area, living room, a small ( and I mean very small ) garden and a very small plunge pool ( for dipping only, not for swimming ). The indoor area comprises of the bedroom, closet and bathroom. As expected, the design is modern contemporary and there’s a lot of attention to detail using much custom furniture and fittings. There’s also a stylish B&O TV which I enjoyed very much playing music and watch movies in it. . Floor to Ceiling wood panel windows allow the ocean view to pour into the room. Bathroom is a full ensuite with a deep soaking tub and is nicely designed but a bit too dark ( black is the color used here ). Nice Bvlgari toiletries provided. Bed is very comfy and sheets and bed linens are all first class. It’s also kind of nice to fall asleep listening to the ocean sounds. Unfortunately, there are also too many negatives. Things are not that easy to figure out, starting with the annoying doors that you have to twist the knob and key to a certain position otherwise it won’t open. There are many switches in the villa which took me quite a while to figure out, and I am used to high-tech hotel rooms. The room is also very dark and dim, especially at night with the predominant black and dark brown color scheme. Wireless Internet is complimentary but slow and unreliable. The worse of all is the wear and tear evident everywhere throughout the villa ( see photos ) and this resort is just barely over two years old, the result of using wood extensively which bears the scratch marks over prolong use and is rather unsightly. One standing lamp is so severely stained that it looked like someone just vomited over it. Strange that for the price this resort is charging, it is not doing more to in refurbishing and maintenance and it shows. I have stayed at older hotels and resorts which much better condition. It's a matter of whether the hotel is willing to invest in refurbishment. The wear and tear problem is exacerbated by the sloppy housekeeping of this resort. Dirt and stains all over the villa, cups not cleaned properly and strands of human hair in one of the amenity boxes ( see photos ). Totally unacceptable. Finally, to round up the series of annoying incidents, the aircon became warm middle of the night ( I have to adjust the temperature down to compensate ) and for some weird reasons, the cordless phone gave out a peeping sound too. I did complain about the condition of the villa and the sloppy housekeeping. The resort then waived my F&B charges and promised a complimentary night stay which I shall see if they will fulfilled, more as an evidence that the management is interested to rectify the problem rather than I want to come back to try this resort. Disappointingly, the General Manager whom I was told was informed of this complaint, did not bother to personally apologize to me and instead just sent one of his staff to discuss with me about their proposed compensation. He did sent a email afterwards though. The common areas are very nice, with a nice infinity pool ( but again small ), two restaurants, a bar and a gift shop and even a Bvlgari boutique right inside the resort. There’s a beach but can’t swim in it because of high tide. As expected, the prices for everything here is very expensive. Landscaping throughout the resort is well done indeed and it’s a pleasure to walk around to explore. Service is passable without any major fault but nothing very outstanding as well. Typical of Bali, they will take some time to attend to your request, it’s not immediate. But then this is not a business hotel so perhaps that is to be tolerated. One word of caution. The entire hotel seems to revolve around a specialized group of clientele only, ie the honeymooners and couples looking for a romantic getaway. So only come here to stay if this is your sole purpose, otherwise you will feel seriously out of place and there’s nothing much to do since this place is so secluded. Even if this is your purpose, for the price, there must be better value elsewhere in Bali which boasts literally hundreds of luxury resorts and villas. So in conclusion, this resort is way below expectation. I got a villa in poor condition with extremely sloppy housekeeping and overall, I have to rate this resort a low 2/5. Not withstanding the compensation offered by the resort, all these problems should not have happened in the first place. It’s such a pity because this is frankly a very beautiful resort and if maintain and run properly, has all the potential for greatness."
124782544,Feb 2012,Cleanliness,1,2,1.6937618147448015,8,1.8525519848771266,8.75,Positive,low aspect rating with positive text sentiment,"Disappointed, doesn't match up to the price tag","With this price tag, one would expect great linens, clean and comfortable. On our first day, we decided to take it easy and had an afternoon nap. To our greatest shock, the bed had sand all over... Got them to change the sheets. But bed linens were rough. Totally not what I wo...","With this price tag, one would expect great linens, clean and comfortable. On our first day, we decided to take it easy and had an afternoon nap. To our greatest shock, the bed had sand all over... Got them to change the sheets. But bed linens were rough. Totally not what I would expect with this price tag. On our second day, while we left our villa for the spa which was just seconds walk from our villa, for a mere 2 hours, the monkeys decided to invite themselves in for a feast, despite the fact that all the doors were shut. My iPad and my husband's cameras had ""paw"" prints and fruit juices all over. His glasses case had teeth marks... Spa - I would give a 5* for the spa treatment received - both my husband and I had very good therapist. One feedback - please change the in-spa slippers - very uncomfortable to be wearing a pair of room slippers outdoor enroute to the spas on grass and tiles. Especially when it's raining, the room slippers with very thin sole gets wet and it's very uncomfortable to walk with on hard and uneven grounds... Apart from that - congratulations - your spa deserves a 4* for overall experience. F&B - Only had 2 restaurants to choose from and 1 other one by the supposed beach which only serves lunch. In the blistering hot and humid days, it's impossible to even consider dining by the beach... The 2 restaurants - 1 serves local food and 1 Italian. To be honest, we didn't try the Italian - thus, no comments. The local - disappointing. Selection of local food was not great, some items in the menu may even be a tad too fancy. While people who visit the resort are generally fairly well-to-do, it's simply unnecessary to have fancy stuff like lobster and wagyu to make a simple fried rice or noodle, not unless you can do it really well. Balinese sushi in the menu - interesting twist but the seaweed used was not fresh. Tasted like those I have at home which has past the sell-by date. Breakfast was ultra disappointing. A hotel/resort with such price tags - served fruit juices from the bottle - just like those you would get from any 3/4 star ones - worst of all, no labeling - four types of juices served - orange, mango, pineapple and apple - and in a not so brightly-lit place, it was quite a challenge to identify. Chinese congee was lumpy while the little dish of curry chicken was fairly tasty. Although I've asked for late check-out, I don't think I wish to stay in this place much longer. I got up at 5am due to the noise on the doors caused by strong wind but I later got worried wondering when the monkeys will come visit again... The hotel staff are generally quite friendly and nice but I've met 1 or 2 who couldn't quite understand english - 1 example - when I called to ask to transferred to a concierge, to help with restaurant recommendations on the phone, she told me that she didn't understand but if I wanted, she would make reservations for me..."
8398137,Aug 2007,Cleanliness,1,2,2.0014892032762472,24,0.913179448994788,10.950000000000001,Positive,low aspect rating with positive text sentiment,pretentious and disappointing,"Me and my boyfriend spent 9 nights in Bulgari resort in Bali, and we were very excited to try out the new resort everyone was talking about. My first impression on bulgari was not good. Online reservation system was not giving much hope, so I left them a message to contact me....","Me and my boyfriend spent 9 nights in Bulgari resort in Bali, and we were very excited to try out the new resort everyone was talking about. My first impression on bulgari was not good. Online reservation system was not giving much hope, so I left them a message to contact me. Of course, nobody did, so I called their UK number. The girl on the phone couldn’t tell me the difference between differently priced rooms, told me my preferences were noted but not guaranteed, and managed to write down both name and e-mail wrong, even after several rounds of spelling (i found that out after not getting the confirmation e-mail, so called to see what’s going on). Second big disappointment came with an e-mail, asking if we’d like a pick-up at the airport, quoting several different prices for different types of vehicles. I must say it never ever happened to me before that a $1000+ per night resort charges for airport transfer. And what a charge this was! A half an hour ride from airport to the hotel goes from $85 to $100+, depending on the car you choose, in an island where a hotel car with a driver usually costs no more than $20 per hour. One more thing they also offered is immigration assistance, of course, coming again with a fee (must I say that every good hotel in Bali has this service included). My first impression on the resort was – none. We arrived in the evening, and the resort is so badly lit you can’t see anything of it really (need to be careful when walking to your room after that extra glass of wine for dinner). Same goes for the room – we were very disappointed with the design – both aesthetically and practically . Maybe we expected a lot more (being fans of both Antonio Citterio and Bulgari hotel in Milan), so our disappointment was bigger. The overall design is quite simple. The layout of the room is not very well thought off, all the doors are extremely narrow - we’re both quite slim, and yet we were banging our shoulders every time when going through the doors; the entrance to the room is blocked by a writing desk – if one is sitting at the desk, the other person going in/out needs to squeeze in order to go through; a corridor (containing wardrobes) with extremely low ceiling divides the bedroom and the bathroom, which are both quite big. The narrowness of the corridors and the overall feeling of claustrophobia is accentuated by noticeable lack of light, both sunlight and artificial lighting. The villa is gloomy both during the day and night - I’ve had mild headaches from huge effort to see better. Even the villa pool deck is in shade most of the day, so we kept chasing that little sun beam whenever we chose to stay in our room instead of going down to the pool. The welcome note left in the room addressed my boyfriend only, there wasn’t even a slightest hint on the note that they’re aware somebody’s accompanying him, even though I booked the room, and left them both our names and details. This manner was unfortunately utilized throughout our stay so that majority of staff was addressing him and him only – Good morning, sir, goodbye, sir, have a lovely day mr. I – when i’m obviously walking next to him. Wireless internet is available free of charge throughout the resort, and considering you’re in Bali, it’s not even that bad. There’s a TV with a DVD player in the bedroom, and a cd player with radio tuner in the bathroom. In-villa mini-bar offers a choice of sodas and beers, limited choice of fruit juices, no milk (on my first day I asked having milk in the fridge, so they brought some and refilled every day), biscuits only for snack, champagne (no wine – you need to call room service for that), some bad coffee and tea that tastes like weeds (having tried it the first day, I asked to have green tea instead, so they brought me jasmine green tea every day). The resort has two restaurants, italian and asian fusion. We were told by some people that the food is a bit “over the top”, and that’s exactly the right way to describe it. Especially in the italian restaurant – everything was served in such fashion, that I think it would scare even the most formal dinners–black tie-crowd. And yet, with no background for it – we were so disappointed with the food – almost everything on the menu was merely tasteless. Add to this minuscule portions, and you’re bound to stay hungry throughout your stay. With a healthy appetite, you should prepare yourself for the full , 5-course dinner in order to fill your tummy (or go out for dinners). I must say though that the grill @ the beach club is superb. But my biggest disappointment of all was coffee. At least I expected good coffee in a resort with an italian brand behind it. Nope. It was so bad we haven’t finished the cup once. We even gave them instructions on how to make it, after a series of bad lattes and cappuccinos, but the result was still disastrous. So we just gave up and drank tea instead, waiting for some better coffee days to some. Also, don’t expect enjoying your sunset mojito by the pool – we switched to corona after several unsuccessful cocktails. If you’re beach lovers, this resort is definitely not for you. The hotel is positioned high on a cliff, and it takes some stairs, an elevator, than stairs again to get to the beach, which is btw coral beach, so swimming is prohibited. A few more issues: they haven’t found a way to stop humidity from going into pillows and matress, so they were very smelly – i had the impression i could sense the smell of various people sleeping in that bed before me. The resort is crowded with villas – 59 – and you have no feeling of privacy. You constantly hear your neighbours talking and buggies going by. The pool and the pool are are to small for hotel this size – considering the pool in the villa is more like a bathtub than a pool, and that nobody goes to the beach – so it can be a bit crowded. Oh, and they haven’t adopted the wonderful no-signing policy, so you need to spare the extra few moments after every drink/meal to sign the bill. Also, everything is ridiculously expensive. After all these things, I must say the service was almost impeccable. The staff were always friendly and smiling, almost all of them spoke very good english and we almost never called for anything twice. Though I must say their friendliness sometimes bordered with annoying – it can be a bit tiring saying hello and goodbye 10 times/minute. We were often interrupted during our meal - at one occasion our dinner was interrupted 4 times in less than10 minutes by four different staff members, coming to ask if everything was alright. And then, there’s also the “addressing the mr only” thing. I need to say that some details are charming – a kite, a deck of cards and a little black book in your beach bag, great choice of bathroom amenities, fresh fruits and lovely desserts delivered daily and cute little presents left in your room leaves a nice touch. The goodbye present was very nice and original My intention was not to trash the hotel – it’s not a bad hotel, after all, but since it is trying to position itself to the level of aman resorts and it’s probably the most expensive hotel in bali, I feel I needed to comment on it exactly on that level. For this money (rooms start at $1060++) you’d be much better off in one of the amans or alternatively four seasons."
124004272,Feb 2012,Cleanliness,1,1,3.1999999999999997,1,-4.8,-1.5,Negative,low aspect rating with positive text sentiment,Disappointing!,"We stayed at the Cliff Villa. It is just an ordinary resort with BVI toiletries. View and location was great but others was disappointing!! We were intruded by monkeys, ants and lice the last night.","We stayed at the Cliff Villa. It is just an ordinary resort with BVI toiletries. View and location was great but others was disappointing!! We were intruded by monkeys, ants and lice the last night."
64906931,May 2010,Cleanliness,1,1,5.9893048128342246,10,3.922994652406417,6.55,Positive,low aspect rating with positive text sentiment,Thousands of Bugs crawling all through the bedroom,My partner and I just came back from an OK dinner at the restaurant and walked into the bedroom to find thousands of bugs and insects everywhere. The crisp white linen of the bed was certainly a contrast to the thousands of black and white bugs that had apparently come through...,"My partner and I just came back from an OK dinner at the restaurant and walked into the bedroom to find thousands of bugs and insects everywhere. The crisp white linen of the bed was certainly a contrast to the thousands of black and white bugs that had apparently come through the roof. We are sitting at the bar now whilst the ""deep clean"" the room, but I have just read the other reviews of how people woke up in the morning to find the bed covered in bugs. Sure is romantic - even the bathroom has thousands of bugs in it - so i cant even wash the darn things off. I won't go into how bad the food was, the fact that they don't even meet you at the airport so you have to line up for hours whilst every other luxury hotel whisks their guests through the fast lane. The resort is lovely, the pool is lovely, the rooms would be beautiful, if only they could do something about the bugs. Planning a romantic stay? Unless insect sex is your thing, stay somewhere else."
148125708,Dec 2012,Cleanliness,1,3,6.251162790697674,12,3.1516279069767443,6.05,Positive,low aspect rating with positive text sentiment,OK. BUT DECEPTIVELY ADVERTISED.,"At first glance, our villa was pretty, if awkwardly-laid-out. But upon closer examination, there were many shortcomings. Door-knobs fell off in my hand, the toilet flooded in the middle of the night, and we found 10 toenail clippings scattered around the main living area. When...","At first glance, our villa was pretty, if awkwardly-laid-out. But upon closer examination, there were many shortcomings. Door-knobs fell off in my hand, the toilet flooded in the middle of the night, and we found 10 toenail clippings scattered around the main living area. When we pulled back the sheets on one of our beds, we observed a number of tiny bugs. To top it off, the beach was closed. We felt that the website was misleading and made it look like guests could relax and swim on the beach. You can never swim on the beach, and on the day we were there, we were even unable to walk on the beach. There also appears to be a serious fly problem. Flies were swarming around us in our villa and at the restaurant. On the plus side, the staff was extremely pleasant and tried to be accommodating. Every employee we encountered was professional and dedicated. The person who welcomed us, and the butler who was assigned to our villa were amazing, and deserve to work at a facility that reflects their hard work. The property manager was extremely professional. The views were stunning, and the staff was very hospitable. Ultimately, however, we paid for a 5-star experience and got a 3-star result."
40020827,Sep 2009,Cleanliness,2,2,0.5079365079365079,2,0.9523809523809524,3.75,Positive,low aspect rating with positive text sentiment,Only stayed for 18 hours - bugs and no running water!,"To be fair it was not one single person's fault that our stay at the Bulgari went horribly wrong. The employees are very well intentioned but they have not been trained as well as say Four Seasons staff. For $1,000 a night we expected perfection. We had already stayed at the F...","To be fair it was not one single person's fault that our stay at the Bulgari went horribly wrong. The employees are very well intentioned but they have not been trained as well as say Four Seasons staff. For $1,000 a night we expected perfection. We had already stayed at the Four Seasons Jimbaran Bay and Sayan which were fabulous. The Bulgari is very isolated down near Uluwatu. You cannot walk to town or anywhere outside the hotel and I don't believe there are many restaurants nearby so you are pretty stuck. The views are amazing...cliff-top overlooking the ocean. Rooms were very fancy but not Balinese at all. Huge bathroom and the outdoor space, including plunge pool were great. Now to the bad parts...when we arrived we went down the funicular to the ocean front cafe thinking we would have a casual lunch. We soon realized that the hotel does not do anything casual. It is literally a thatched hut with wooden tables but the only entrees were $45 steaks and seafood dishes. No sandwiches or salads to speak of. Horrible service and the food was inedible. We had dinner at the italian restaurant...food was ok, better service, very expensive. Back to our room where things went downhill...in the middle of the night my husband and I realized we had no running water. Called the front desk and they said they had no idea how long it would be to fix. Then we woke up at 6am and I turned on the light next to the bed and suddenly there were hundreds of bugs all over the bed. I thought at first they had been IN the bed and freaked out. I would post pictures of it here but it is too gross! Our butler came and said he had no idea what it was so we decided to pack up and leave the hotel (later found out it was from the villa roofing which they are supposed to treat for insects). We still had NO running water at 7am when we left and went back to the Four Seasons Jimbaran Bay. To their credit we did get our money back for the one night we stayed there and a gift and apology note were sent to us at the Four Seasons from the Bulgari. We heard that over the next several days they still were having water problems which apparently is not uncommon for them. They looked to be adding some Bulgari Villas but I think they need to get the water and bug situation under control before adding more rooms and guests!"
78284179,Sep 2010,Cleanliness,2,3,0.5410628019323671,1,1.0821256038647342,2,Positive,low aspect rating with positive text sentiment,"Not befitting Bulgari Name, Overpriced Given The Drawbacks","I was there for my honeymoon. Paid USD$1k per night. The location was very remote. Which is ok for a honeymoon and the views from the villa were spectacular and dramatic when we reached the hotel for the first time. However, this initial excitement wore thin when we encountere...","I was there for my honeymoon. Paid USD$1k per night. The location was very remote. Which is ok for a honeymoon and the views from the villa were spectacular and dramatic when we reached the hotel for the first time. However, this initial excitement wore thin when we encountered a number of issues with the hotel room. There were several power outages at the hotel. The electricity went off frequently. Also, whilst the villa had a pool, the pool was not clean. There was clumps of dust on the floor of the pool. Very bad. Spa was good but did not use Bulgari products. They did not replenish the bulgari frangrance at all. All we got was one 5 ml sample! Apart from the measly toileteries, the only link to Bulgari was an overpriced boutique store. Service was ok and the italian restaurant was good but generally very disappointing for USD$1k per night. SHould have stayed at the Four Seasons. There does not appear to be any proper management in this hotel. They did not even make any special arrangement such as a bottle of wine to make up for any of the glitches and the fact that we had indicated that this is a honeymoon for us."
195987935,Mar 2014,Cleanliness,2,1,0.5743589743589743,1,1.751794871794872,3.05,Positive,low aspect rating with positive text sentiment,Over rated !,"The scenery is really fantastic. But that is just it. We were there for my cousin wedding. We booked weeks ahead and requested a twin bed, but upon check in, it is not available. They were kind enough to offer extra bed in the room. But looking at the bed they brought in, the ...","The scenery is really fantastic. But that is just it. We were there for my cousin wedding. We booked weeks ahead and requested a twin bed, but upon check in, it is not available. They were kind enough to offer extra bed in the room. But looking at the bed they brought in, the bed must have been older than the hotel itself (Should have take photo of the extra bed). Dirty, holes, and with springs that can give you back pain. The room is in great need of renovation. The wooden floor creaks when you walk, some of the wood is rotten and maybe is due to the rainy season, so the wood kind of expand and you need to give the door an extra kick to open it. The worst is at night, i must have killed over twenty mosquito and yet they still keep coming. In the morning, was awaken by monkeys jumping on the roof of the villas. It's something new i must say. Around and in the hotel, there is pretty much nothing to do. One final word, if you are not here on honeymoon, better find another hotel."
185746312,Nov 2013,Cleanliness,2,1,3.793038570084666,36,1.3749764816556915,13.05,Positive,low aspect rating with positive text sentiment,"Spent two nights being dripped on by leaking AC, potholes in floor of 'luxury' villa - stay at Ayana instead!","I have honestly never been so disappointed by a five star hotel in my life. We left the Ayana (gorgeous, amazing service) and checked in to Bulgari to get married (I fell in love with the idea of a water chapel wedding and photos on the beach). I've seen all the reviews that t...","I have honestly never been so disappointed by a five star hotel in my life. We left the Ayana (gorgeous, amazing service) and checked in to Bulgari to get married (I fell in love with the idea of a water chapel wedding and photos on the beach). I've seen all the reviews that talk about how luxurious Bulgari is, and maybe I am just spoiled, but Bulgari cannot compare to any other 5 star villa resort that I have stayed at in Asia. Even in Uluwatu there are much nicer places with far better service that you can stay at for less spend. No one with any impact at the Bulgari resort seems to care whether you are satisfied or not. The guys that ferry you about by buggy, the waiters, even the chefs are so sweet but the management is just so nonchalant. The arrogance of the place is insane. 1. I am two months pregnant, and yet when we checked in to get married there was no one to meet us to check us in to the hotel we were getting married at! On my wedding day I had to haul suitcases and my wedding dress out of the taxi and actually go wandering around to look for where to check-in. Sorry, but even if you go to a 5-star hotel for dinner there's always a bell boy there as standard to welcome and help with any bags?! 2. First impressions of the villa - the varnish on the outdoor floor boards is peeling and faded. It just looks tired. It costs nothing to sand and revarnish floor boards?! I would never let my home floor boards get to this kind of state - and Bulgari is meant to be in the business of hospitality and luxury... 3. Speaking of floor boards, getting ready for my wedding, I fell down a small pot hole in the floor of the 'luxury' villa by the heel of my shoe (pictured). It might sound petty - but this is meant to be five star and the place is just worn out. There were black stains on our curtains, too. It was just depressing! 4. My biggest issue was the AC and the lack of concern of anyone in the hotel to fix it. On my WEDDING NIGHT I didn't get a wink of sleep (and not in the good way either!) because the AC dripped all over me - not in a little way - look at the photo of filthy brown water dripping on to the bed!! In the morning I complained to house keeping and the butler, who promised that an engineer would come and fix it. We returned to the room at around 6pm and it was still leaking, the duvet was soaked through. I called to complain again about the leak and the soaked bedsheets, and when we came back to the room a few hours later the sheets had been changed byt the AC was still faulty and dripping all over the new sheets - they hadn't done a thing to fix the AC. Beggars belief, I know. I complained again - begging someone to fix the AC so that I could get some sleep. The engineer's idea of 'fixing' the AC was to place a board over the vent. Sure, I wasn't getting dripped on from the bed anymore, but the bedroom was then sweltering hot - literally no AC (not even a basic fan out of courtesy) in a so-called luxury hotel for the whole night?!!! I'm pretty sure that in a tropical climate, that there is no hotel - of any star - that would do this to guests. Considering that this was meant to be the wedding of my dreams, it's almost as if Bulgari did everything that they could to make it miserable. To make matters worse the water that would have dripped on me re-routed to the left hand corner of the room - all over the beautiful jewelery my new husband had gifted me on my wedding day. It was just disgraceful. 4. The breakfasts were nice, and I will say that the coffee is good. Note that if you stay in Villa 25 you will need the caffeine to get you through the days after those humid, uncomfortable, sleepless nights. 5. The events coordinator is a vile woman who is more unhelpful than you can imagine. I only wanted to get married in Bali for the water chapel wedding and the photos on the beach. The beach was closed - had been for weeks, with no plans to open anytime soon. But no one thought to tell us this when we were paying the upfront, pretty hefty fee for the ceremony. My wedding planner hadn't been informed either. I only found out when I was asking the photographer on the day to take us to the beach for some nice shots on the sand. Instead of offering helpful alternative beach locations, the Bulgari lady just adamantly insisted that it wouldn't be possible. I was reduced to tears by this woman an hour before my ceremony. Luckily the photographer was a very kind Balinese man who took us to a public beach the following day to take some nice photos. 6. Heavy rain fall meant that my water chapel wedding - the only reason I wanted to get married at Bulgari - didn't happen. I'm not blaming Bulgari for the rain fall, and the team did do a lovely job of making the alternate venue, a gazebo, as nice as they could. The team comped a spa treatment for us because of the rain, which was nice. But Ayana (where we had stayed for the five days leading up to the wedding) also comped us a couple's massage just as a celebratory gesture to get married. I'm not being ungrateful - but comping spa visits is pretty standard when you are spending the kind of money that these resorts charge, especially when you are getting married, anniversaries, honeymoons, etc. Rant over. You won't catch me staying at Bulgari ever again, and we are regular visitors to Bali, especially Uluwatu. The grounds are very pretty and well maintained, but the villas are worn out and can't compete with the other luxury resorts in Uluwatu. Plus, the commitment to guest satisfaction is bordering zero. Stay at your own peril, people!"
37668579,Aug 2009,Cleanliness,2,4,7.368421052631579,35,4.042105263157894,19.2,Positive,high overall rating with low aspect rating; low aspect rating with positive text sentiment,"Probably one of the top 5 in Bali, but definitely not the best","Before starting this review, I'd like to say that I have been to Bali in July/August 8 times already, in good conditions, and that I have been to many high end hotels and resorts on the island. I had heard many positive comments/reviews concerning the Bulgari and I was rather ...","Before starting this review, I'd like to say that I have been to Bali in July/August 8 times already, in good conditions, and that I have been to many high end hotels and resorts on the island. I had heard many positive comments/reviews concerning the Bulgari and I was rather excited to stay in this hotel for 4 nights. However I left with a contrasted impression due to several points I will now develop. Pros: -The situation is pretty decent, as the view is definitely breathtaking (one of the nicest in Bali), and the hotel is located less than half an hour away from the International Airport. -The hotel itself is design and, as it is only 34 months old, it is still in good condition. The decoration is modern and more tasteful than at the Four Seasons at Jimbaran Bay. -There are two very nice boutiques located within the hotel (they are pretty expensive though). -The breakfast, which is a hybrid between ""all you can eat"" buffet and a la carte, is delicious and offers a sumptuous view. -The bathroom is beautiful, spacious and clean. It contains 2 showers (outdoor and indoor) and a large bathtub, plus two sinks. Cons: -The service is OK, but definitely not worth the price. Service at Four Seasons Sayan/JImbaran Bay, Alila, any of the Aman hotels is clearly better, personnel is more attentive. A few examples: the buggy (which is indispensable to any movement in the hotel) once took 20 minutes to arrive at my room while ""5 to 7 minutes"" is announced; the staff at the restaurants is not as professional as in Mozaic, Cire or the restaurant of the Amandari for instance; we had booking issues at the restaurant because our butler forgot to make the reservation for us... -The food at the Italian restaurant, which is supposed to be the best of its kind on the island, is overpriced and not that great. -The beach is nice but it is almost impossible to go swim: the ground is full of rocks and the waves are more of the ""surfing caliber"" - high and dangerous. -The 2 rooms I've been into were infected with armies of tiny ants. I found some in my bag, inside my laptop... Some came under my keyboard (annoying), and BEHIND my screen (very annoying). In total, I probably killed around 40 before giving up and asking for some bug spray. -The cliffside villas have a great view but the ones that are located higher offer a pretty mediocre view. -The rooms are poorly lit. Huge windows compensate during the day, but the room is somber after sunset. To conclude, overall Bulgari is a classy and sumptuous 5 star hotel. However I would not recommend it to a friend as some other comparable hotels that offer relatively similar prestations are slightly better... and cheaper. I am thinking about the brand new Alila which is extremely design (almost making Bulgari look traditional), offers a better service and serves tastier food for a couple hundred dollars less per night. I would also recommend the Four Seasons at Jimbaran Bay, which is very similar to Bulgari (although older) but offers a truly professional service at a lower price."
